Source,Target
impetigo,skin_rash high_fever blister red_sore_around_nose
impetigo,skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze
impetigo,skin_rash blister red_sore_around_nose yellow_crust_ooze
fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches
fungal infection,skin_rash nodal_skin_eruptions dischromic_patches
fungal infection,itching nodal_skin_eruptions dischromic_patches
fungal infection,itching skin_rash dischromic_patches
fungal infection,itching skin_rash nodal_skin_eruptions
fungal infection,skin_rash nodal_skin_eruptions dischromic_patches
fungal infection,itching nodal_skin_eruptions dischromic_patches
fungal infection,itching skin_rash dischromic_patches
fungal infection,itching skin_rash nodal_skin_eruptions
fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches
allergy,continuous_sneezing shivering chills watering_from_eyes
allergy,shivering chills watering_from_eyes
allergy,continuous_sneezing chills watering_from_eyes
allergy,continuous_sneezing shivering watering_from_eyes
allergy,continuous_sneezing shivering chills
allergy,shivering chills watering_from_eyes
allergy,continuous_sneezing chills watering_from_eyes
allergy,continuous_sneezing shivering watering_from_eyes
allergy,continuous_sneezing shivering chills
allergy,continuous_sneezing shivering chills watering_from_eyes
gerd,stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain
gerd,stomach_pain ulcers_on_tongue vomiting cough chest_pain
gerd,stomach_pain acidity vomiting cough chest_pain
gerd,stomach_pain acidity ulcers_on_tongue cough chest_pain
gerd,stomach_pain acidity ulcers_on_tongue vomiting chest_pain
gerd,stomach_pain acidity ulcers_on_tongue vomiting cough
gerd,acidity ulcers_on_tongue vomiting cough chest_pain
gerd,stomach_pain ulcers_on_tongue vomiting cough chest_pain
gerd,stomach_pain acidity vomiting cough chest_pain
gerd,stomach_pain acidity ulcers_on_tongue cough chest_pain
chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
chronic cholestasis,vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
chronic cholestasis,itching yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
chronic cholestasis,itching vomiting nausea loss_of_appetite abdominal_pain yellowing_of_eyes
chronic cholestasis,itching vomiting yellowish_skin loss_of_appetite abdominal_pain yellowing_of_eyes
chronic cholestasis,itching vomiting yellowish_skin nausea abdominal_pain yellowing_of_eyes
chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite yellowing_of_eyes
chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain
chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
drug reaction,itching skin_rash stomach_pain burning_micturition spotting_urination
drug reaction,itching stomach_pain burning_micturition spotting_urination
drug reaction,itching skin_rash burning_micturition spotting_urination
drug reaction,itching skin_rash stomach_pain spotting_urination
drug reaction,itching skin_rash stomach_pain burning_micturition
drug reaction,skin_rash stomach_pain burning_micturition spotting_urination
drug reaction,itching stomach_pain burning_micturition spotting_urination
drug reaction,itching skin_rash burning_micturition spotting_urination
drug reaction,itching skin_rash stomach_pain spotting_urination
drug reaction,itching skin_rash stomach_pain burning_micturition
peptic ulcer diseae,vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching
peptic ulcer diseae,vomiting indigestion abdominal_pain passage_of_gases internal_itching
peptic ulcer diseae,indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching
peptic ulcer diseae,vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching
peptic ulcer diseae,vomiting indigestion abdominal_pain passage_of_gases internal_itching
peptic ulcer diseae,vomiting indigestion loss_of_appetite passage_of_gases internal_itching
peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain internal_itching
peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases
peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching
peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching
aids,muscle_wasting patches_in_throat high_fever extra_marital_contacts
aids,patches_in_throat high_fever extra_marital_contacts
aids,muscle_wasting high_fever extra_marital_contacts
aids,muscle_wasting patches_in_throat extra_marital_contacts
aids,muscle_wasting patches_in_throat high_fever
aids,muscle_wasting patches_in_throat high_fever extra_marital_contacts
aids,muscle_wasting patches_in_throat high_fever extra_marital_contacts
aids,patches_in_throat high_fever extra_marital_contacts
aids,muscle_wasting high_fever extra_marital_contacts
aids,muscle_wasting patches_in_throat high_fever
diabetes,fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss restlessness irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss restlessness lethargy blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss restlessness lethargy irregular_sugar_level obesity excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision excessive_hunger increased_appetite polyuria
diabetes,fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity increased_appetite polyuria
gastroenteritis,vomiting sunken_eyes dehydration diarrhoea
gastroenteritis,vomiting sunken_eyes dehydration diarrhoea
gastroenteritis,sunken_eyes dehydration diarrhoea
gastroenteritis,vomiting dehydration diarrhoea
gastroenteritis,vomiting sunken_eyes diarrhoea
gastroenteritis,vomiting sunken_eyes dehydration
gastroenteritis,vomiting sunken_eyes dehydration diarrhoea
gastroenteritis,sunken_eyes dehydration diarrhoea
gastroenteritis,vomiting dehydration diarrhoea
gastroenteritis,vomiting sunken_eyes diarrhoea
bronchial asthma,fatigue cough high_fever breathlessness family_history mucoid_sputum
bronchial asthma,cough high_fever breathlessness family_history mucoid_sputum
bronchial asthma,fatigue high_fever breathlessness family_history mucoid_sputum
bronchial asthma,fatigue cough breathlessness family_history mucoid_sputum
bronchial asthma,fatigue cough high_fever family_history mucoid_sputum
bronchial asthma,fatigue cough high_fever breathlessness mucoid_sputum
bronchial asthma,fatigue cough high_fever breathlessness family_history
bronchial asthma,fatigue cough high_fever breathlessness family_history mucoid_sputum
bronchial asthma,cough high_fever breathlessness family_history mucoid_sputum
bronchial asthma,fatigue high_fever breathlessness family_history mucoid_sputum
hypertension,headache chest_pain dizziness loss_of_balance lack_of_concentration
hypertension,chest_pain dizziness loss_of_balance lack_of_concentration
hypertension,headache dizziness loss_of_balance lack_of_concentration
hypertension,headache chest_pain loss_of_balance lack_of_concentration
hypertension,headache chest_pain dizziness lack_of_concentration
hypertension,headache chest_pain dizziness loss_of_balance
hypertension,headache chest_pain dizziness loss_of_balance lack_of_concentration
hypertension,chest_pain dizziness loss_of_balance lack_of_concentration
hypertension,headache dizziness loss_of_balance lack_of_concentration
hypertension,headache chest_pain loss_of_balance lack_of_concentration
migraine,acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances
migraine,indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances
migraine,acidity headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances
migraine,acidity indigestion blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances
migraine,acidity indigestion headache excessive_hunger stiff_neck depression irritability visual_disturbances
migraine,acidity indigestion headache blurred_and_distorted_vision stiff_neck depression irritability visual_disturbances
migraine,acidity indigestion headache blurred_and_distorted_vision excessive_hunger depression irritability visual_disturbances
migraine,acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck irritability visual_disturbances
migraine,acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression visual_disturbances
migraine,acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability
cervical spondylosis,back_pain weakness_in_limbs neck_pain dizziness loss_of_balance
cervical spondylosis,back_pain weakness_in_limbs neck_pain dizziness loss_of_balance
cervical spondylosis,weakness_in_limbs neck_pain dizziness loss_of_balance
cervical spondylosis,back_pain neck_pain dizziness loss_of_balance
cervical spondylosis,back_pain weakness_in_limbs dizziness loss_of_balance
cervical spondylosis,back_pain weakness_in_limbs neck_pain loss_of_balance
cervical spondylosis,back_pain weakness_in_limbs neck_pain dizziness
cervical spondylosis,back_pain weakness_in_limbs neck_pain dizziness loss_of_balance
cervical spondylosis,weakness_in_limbs neck_pain dizziness loss_of_balance
cervical spondylosis,back_pain neck_pain dizziness loss_of_balance
paralysis (brain hemorrhage),vomiting headache weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),vomiting headache weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),headache weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),vomiting weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),vomiting headache altered_sensorium
paralysis (brain hemorrhage),vomiting headache weakness_of_one_body_side
paralysis (brain hemorrhage),vomiting headache weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),headache weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),vomiting weakness_of_one_body_side altered_sensorium
paralysis (brain hemorrhage),vomiting headache altered_sensorium
jaundice,itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain
jaundice,itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain
jaundice,vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain
jaundice,itching fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain
jaundice,itching vomiting weight_loss high_fever yellowish_skin dark_urine abdominal_pain
jaundice,itching vomiting fatigue high_fever yellowish_skin dark_urine abdominal_pain
jaundice,itching vomiting fatigue weight_loss yellowish_skin dark_urine abdominal_pain
jaundice,itching vomiting fatigue weight_loss high_fever dark_urine abdominal_pain
jaundice,itching vomiting fatigue weight_loss high_fever yellowish_skin abdominal_pain
jaundice,itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine
malaria,chills vomiting high_fever sweating headache nausea muscle_pain
malaria,chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain
malaria,chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain
malaria,vomiting high_fever sweating headache nausea diarrhoea muscle_pain
malaria,chills high_fever sweating headache nausea diarrhoea muscle_pain
malaria,chills vomiting sweating headache nausea diarrhoea muscle_pain
malaria,chills vomiting high_fever headache nausea diarrhoea muscle_pain
malaria,chills vomiting high_fever sweating nausea diarrhoea muscle_pain
malaria,chills vomiting high_fever sweating headache diarrhoea muscle_pain
malaria,chills vomiting high_fever sweating headache nausea muscle_pain
chicken pox,itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash fatigue high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash fatigue lethargy headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash fatigue lethargy high_fever loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash fatigue lethargy high_fever headache mild_fever swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash fatigue lethargy high_fever headache loss_of_appetite swelled_lymph_nodes malaise red_spots_over_body
chicken pox,itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever malaise red_spots_over_body
dengue,skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain muscle_pain red_spots_over_body
dengue,skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise red_spots_over_body
dengue,skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain
dengue,skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
dengue,chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
dengue,skin_rash joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
dengue,skin_rash chills vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
dengue,skin_rash chills joint_pain fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
dengue,skin_rash chills joint_pain vomiting high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
dengue,skin_rash chills joint_pain vomiting fatigue headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body
typhoid,chills vomiting fatigue high_fever nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
typhoid,chills vomiting fatigue high_fever headache constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
typhoid,chills vomiting fatigue high_fever headache nausea abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
typhoid,chills vomiting fatigue high_fever headache nausea constipation diarrhoea toxic_look_(typhos) belly_pain
typhoid,chills vomiting fatigue high_fever headache nausea constipation abdominal_pain toxic_look_(typhos) belly_pain
typhoid,chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea belly_pain
typhoid,chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos)
typhoid,chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
typhoid,chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
typhoid,chills fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
hepatitis a,joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting yellowish_skin nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting yellowish_skin dark_urine loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting yellowish_skin dark_urine nausea abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite diarrhoea mild_fever yellowing_of_eyes muscle_pain
hepatitis a,joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain mild_fever yellowing_of_eyes muscle_pain
hepatitis b,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue lethargy dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue lethargy yellowish_skin loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue lethargy yellowish_skin dark_urine abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis b,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
hepatitis c,fatigue yellowish_skin nausea loss_of_appetite family_history
hepatitis c,fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
hepatitis c,yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
hepatitis c,fatigue nausea loss_of_appetite yellowing_of_eyes family_history
hepatitis c,fatigue yellowish_skin loss_of_appetite yellowing_of_eyes family_history
hepatitis c,fatigue yellowish_skin nausea yellowing_of_eyes family_history
hepatitis c,fatigue yellowish_skin nausea loss_of_appetite family_history
hepatitis c,fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes
hepatitis c,fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
hepatitis c,fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
hepatitis d,joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain vomiting fatigue dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain vomiting fatigue yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain vomiting fatigue yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain vomiting fatigue yellowish_skin dark_urine nausea abdominal_pain yellowing_of_eyes
hepatitis d,joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite yellowing_of_eyes
hepatitis d,joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain
hepatitis e,joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes coma stomach_bleeding
hepatitis e,joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain vomiting high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain vomiting fatigue high_fever dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain vomiting fatigue high_fever yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
hepatitis e,joint_pain vomiting fatigue high_fever yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,vomiting abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,vomiting yellowish_skin swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain distention_of_abdomen history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain swelling_of_stomach history_of_alcohol_consumption fluid_overload
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen fluid_overload
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption
alcoholic hepatitis,vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
tuberculosis,chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting fatigue cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting fatigue weight_loss high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting fatigue weight_loss cough breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting fatigue weight_loss cough high_fever sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
tuberculosis,chills vomiting fatigue weight_loss cough high_fever breathlessness loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
common cold,continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills fatigue high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills fatigue cough headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills fatigue cough high_fever swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills fatigue cough high_fever headache malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
common cold,continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
pneumonia,chills fatigue cough high_fever breathlessness sweating malaise chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue cough breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue cough high_fever sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue cough high_fever breathlessness malaise phlegm chest_pain fast_heart_rate rusty_sputum
pneumonia,chills fatigue cough high_fever breathlessness sweating phlegm chest_pain fast_heart_rate rusty_sputum
dimorphic hemmorhoids(piles),constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
dimorphic hemmorhoids(piles),constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
dimorphic hemmorhoids(piles),constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
dimorphic hemmorhoids(piles),pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
dimorphic hemmorhoids(piles),constipation pain_in_anal_region bloody_stool irritation_in_anus
dimorphic hemmorhoids(piles),constipation pain_during_bowel_movements bloody_stool irritation_in_anus
dimorphic hemmorhoids(piles),constipation pain_during_bowel_movements pain_in_anal_region irritation_in_anus
dimorphic hemmorhoids(piles),constipation pain_during_bowel_movements pain_in_anal_region bloody_stool
